epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,475.688,1.91091,1.94001,1.35332,0.95818,0.66099,0.53052,0.57059,0.22803,0.4168,0.3615,0.28566,0.08973,1.83915,1.83138,1.58482,1.01617,0.0017426,0.0017426,0.0017426
41,487.18,1.91281,1.87515,1.41484,0.96875,0.68384,0.43662,0.52857,0.22962,0.55416,0.30047,0.32552,0.10038,1.95773,1.85915,1.53454,1.04832,0.001736,0.001736,0.001736
42,498.678,1.8948,1.92109,1.34934,0.95339,0.71133,0.48591,0.60203,0.27444,0.56112,0.38416,0.40078,0.13357,1.69205,1.79223,1.25506,0.98688,0.0017294,0.0017294,0.0017294
43,510.669,1.85755,1.75845,1.26351,0.96953,0.6409,0.5195,0.54261,0.23644,0.38454,0.34272,0.30098,0.09679,1.80123,1.64055,1.40831,1.00382,0.0017228,0.0017228,0.0017228
44,521.877,1.91199,1.89516,1.38115,0.96933,0.58962,0.53991,0.57409,0.24562,0.49355,0.34272,0.33959,0.10822,1.77699,1.6645,1.41434,1.00468,0.0017162,0.0017162,0.0017162
45,533.229,1.87697,1.91006,1.42558,0.95519,0.72415,0.55869,0.63029,0.29085,0.48142,0.39906,0.37144,0.14131,1.64602,1.68108,1.22564,0.96849,0.0017096,0.0017096,0.0017096
46,544.624,1.88416,1.81599,1.21727,0.96985,0.66184,0.48357,0.55739,0.25179,0.45718,0.38356,0.36026,0.13008,1.7184,1.67557,1.48453,0.99265,0.001703,0.001703,0.001703
47,556.051,1.89853,1.77107,1.2941,0.95674,0.65473,0.47418,0.56423,0.27084,0.56163,0.37293,0.41976,0.15316,1.70323,1.69143,1.34583,0.98941,0.0016964,0.0016964,0.0016964
48,567.475,1.90551,1.84942,1.31359,0.99207,0.67453,0.51643,0.60891,0.25255,0.63323,0.37559,0.39766,0.10906,1.96362,1.73215,1.34967,1.0591,0.0016898,0.0016898,0.0016898
49,578.917,1.825,1.89269,1.19835,0.96494,0.69478,0.52582,0.59734,0.24672,0.53925,0.3615,0.33911,0.108,1.74612,1.67692,1.2592,0.99371,0.0016832,0.0016832,0.0016832
50,590.254,1.82592,1.82101,1.2406,0.95344,0.66598,0.55399,0.59014,0.28116,0.49174,0.40376,0.38383,0.12985,1.68864,1.72733,1.3342,0.99096,0.0016766,0.0016766,0.0016766
51,601.445,1.79065,1.84824,1.26204,0.95103,0.63447,0.5297,0.55905,0.23509,0.45827,0.38967,0.31575,0.11038,1.76255,1.72323,1.33507,1.00053,0.00167,0.00167,0.00167
52,612.852,1.83859,1.94729,1.28198,0.96625,0.66277,0.53517,0.61625,0.25146,0.54426,0.33642,0.36188,0.12108,1.78782,1.75387,1.35096,1.00555,0.0016634,0.0016634,0.0016634
53,624.18,1.8219,1.90636,1.27351,0.95488,0.71407,0.52761,0.64128,0.28149,0.54119,0.30516,0.34918,0.12736,1.73442,1.70416,1.26369,0.99553,0.0016568,0.0016568,0.0016568
54,635.435,1.82093,1.7398,1.23669,0.959,0.74063,0.52113,0.62923,0.28231,0.57942,0.40376,0.41504,0.14482,1.73907,1.73593,1.3246,1.00617,0.0016502,0.0016502,0.0016502
55,646.725,1.83211,1.94269,1.2315,0.94309,0.74305,0.51643,0.6247,0.28127,0.48442,0.33084,0.35663,0.11481,1.70354,1.67115,1.30282,0.99019,0.0016436,0.0016436,0.0016436
56,657.973,1.78395,1.88562,1.23647,0.94678,0.71437,0.58709,0.66806,0.31356,0.56144,0.38967,0.43249,0.15985,1.5886,1.66805,1.18777,0.96019,0.001637,0.001637,0.001637
57,669.324,1.85446,1.76051,1.27962,0.95321,0.64215,0.57746,0.61181,0.27448,0.49515,0.38967,0.36902,0.12496,1.66474,1.8019,1.30043,0.98292,0.0016304,0.0016304,0.0016304
58,680.481,1.81056,1.78272,1.20368,0.94968,0.80332,0.51643,0.64903,0.29682,0.54075,0.34272,0.37021,0.12682,1.71876,1.5787,1.31371,0.9907,0.0016238,0.0016238,0.0016238
59,691.711,1.81746,1.85304,1.21674,0.96586,0.75025,0.57746,0.65331,0.31085,0.54745,0.35681,0.36815,0.12031,1.67278,1.56105,1.16367,0.98418,0.0016172,0.0016172,0.0016172
60,703.219,1.80976,1.89234,1.22283,0.9384,0.76433,0.54817,0.64689,0.30074,0.56462,0.38498,0.39309,0.12283,1.62971,1.58306,1.18616,0.96844,0.0016106,0.0016106,0.0016106
61,715.08,1.7477,1.89443,1.17755,0.92906,0.66743,0.53991,0.60875,0.27744,0.48269,0.37559,0.36243,0.12163,1.69709,1.61123,1.22046,0.98213,0.001604,0.001604,0.001604
